GIACR,German Orthography 1,German Orthography 2,Formats,Notes,Source
Sundermeier,Sundermeier,,1,,
Taffe,Taffe,,1,,
Tegtmeyer,Tegtmeyer,,1,,
Tenz,Tenz,,1,,
Terbrueggen,Terbrüggen,,1,,
Theis,Theis,,1,,
Theobald,Theobald,,1,,
Thesing,Thesing,,1,,
Thilenius,Thilenius,,1,,
Thomas,Thomas,,1,,
Tiegel,Tiegel,,1,,
Tiemeier,Tiemeier,,1,,
Tiesing,Tiesing,,1,,
Timmermann,Timmermann,,1,,
Timpke,Timpke,,1,,
Tinke,Tinke,,1,,
Tinnappel,Tinnappel,,1,,
Todt,Todt,,1,,
Toht,Toht,,1,,
Tolle,Tolle,,1,,
Trampe,Trampe,,1,,
Trogmund,Trogmund,,1,,
Troste,Troste,,1,,
Tubesing,Tubesing,,1,,
Tuemmler,Tümmler,,1,,
Ude,Ude,,1,,
Uhlich,Uhlich,,1,,
Uhlig,Uhlig,,1,,
Ullrich,Ullrich,,1,,
Ulrich,Ulrich,,1,,
Umbach,Umbach,,1,,
Unfried,Unfried,,1,,
Uthaff,Uthaff,,1,,
Uthoff,Uthoff,,1,,
Vallowe,Vallowe,,1,,
van Buren,van Buren,,1,,
Vanburen,Vanburen,,1,,
Vaupel,Vaupel,,1,,
Venn,Venn,,1,,
Verl,Verl,,1,,
Voegedings,Vögeding,,1,,
Voerster,Vörster,,1,,
Vogel,Vogel,,1,,
Vogt,Vogt,,1,,
Voigt,Voigt,,1,,
Von Bruck,Von Bruck,,1,,
Von der Hake,Von der Hake,,1,,
Vonbehem,Vonbehem,,1,,
Vonbehren,Vonbehren,,1,,
Vonbesten,Vonbesten,,1,,
Vonbiehren,Vonbiehren,,1,,
Vonbruck,Vonbruck,,1,,
Vonderhake,Vonderhake,,1,,
Vonkugelberg,Vonkugelberg,,1,,
Vonseibert,Vonseibert,,1,,
Vordick,Vordick,,1,,
Vortmann,Vortmann,,1,,
Voss,Voß,,1,,
Wagenfeld,Wagenfeld,,1,,
Wagentreiber,Wagentreiber,,1,,
Wagner,Wagner,,1,,
Waldke,Waldke,,1,,
Walf,Walf,,1,,
Walkenhorst,Walkenhorst,,1,,
Walkewitz,Walkewitz,,1,,
Walters,Walters,,1,,
Wanneboldt,Wanneboldt,,1,,
Warnken,Warnken,,1,,
Wassmann,Waßmann,,1,,
Waussgell,Waußgell,,1,Taken from FamilySearch.org,Link
Weber,Weber,,1,,
Wecker,Wecker,,1,,
Wege,Wege,,1,,
Wegemann,Wegemann,,1,,
Wegenmann,Wegenmann,,1,,
Wegle,Wegle,,1,,
Wehmueller,Wehmüller,,1,,
Wehrmann,Wehrmann,,1,,
Weichel,Weichel,,1,,
Weihermueller,Weihermüller,,1,,
Weise,Weise,,1,,
Weissmueller,Weißmüller,,1,,
Weitkamp,Weitkamp,,1,,
Wellmann,Wellmann,,1,,
Welpmann,Welpmann,,1,,
Wemhoehner,Wemhöhner,,1,,
Wemhoener,Wemhöner,,1,,
Wenckel,Wenckel,,1,,
Wenkel,Wenkel,,1,,
Wenz,Wenz,,1,,
Wernemann,Wernemann,,1,,
Wernet,Wernet,,1,,
Werries,Werries,,1,,
Werry,Werry,,1,,
Westenberg,Westenberg,,1,,
Westerberg,Westerberg,,1,,
Westerfeld,Westerfeld,,1,,
Westermann,Westermann,,1,,
Westing,Westing,,1,,
Wibracht,Wibracht,,1,,
Wiebracht,Wiebracht,,1,,
Wiebrock,Wiebrock,,1,,
Wiebusch,Wiebusch,,1,,
Wienker,Wienker,,1,,
Wiese,Wiese,,1,,
Wiesler,Wiesler,,1,,
Wildeisen,Wildeisen,,1,,
Wilhelm,Wilhelm,,1,,
Wilkening,Wilkening,,1,,
Wilkrening,Wilkrening,,1,,
Wille,Wille,,1,,
Willhart,Willhart,,1,,
Willmann,Willmann,,1,,
Wilms,Wilms,,1,,
Wilsenack,Wilsenack,,1,,
Windecker,Windecker,,1,,
Winefeld,Winefeld,,1,,
Winkler,Winkler,,1,,
Winner,Winner,,1,,
Wintermann,Wintermann,,1,,
Wishmann,Wishmann,,1,,
Wisker,Wisker,,1,,
Wissig,Wissig,,1,,
Wissmann,Wissmann,Wißmann,2,,
Witthas,Witthas,,1,,
Witthus,Witthus,,1,,
Wohlemmeier,Wohlemmeier,,1,,
Wohlmacher,Wohlmacher,,1,,
Wolfram,Wolfram,,1,,
Wolkewitz,Wolkewitz,,1,,
Wulfmeier,Wulfmeier,,1,,
Wulze,Wulze,,1,,
Wunderlich,Wunderlich,,1,,
Zapf,Zapf,,1,,
Zelsmann,Zelsmann,,1,,
Zesch,Zesch,,1,,
Zibell,Zibell,,1,,
Zickler,Zickler,,1,,
Ziegengeist,Ziegengeist,,1,,
Ziegler,Ziegler,,1,,
Zimmermann,Zimmermann,,1,,
Zitz,Zitz,,1,,
Zweigart,Zweigart,,1,,
