GIACR,German Orthography,Cognate Key,Num of Names,Notes / Instructions
Jette,Jette,Jette,1,Used Pseudo-Latin for Name Key.
Johanna,Johanna,Joanna,1,
Johanne,Johanne,Joanna,1,
Johannette,Johannette,Joanna,1,
Johanriette,Johanriette,Joanna,1,
Josephina,Josephina,Josephina,1,
Josephine,Josephine,Josephina,1,
Judith,Judith,Judith,1,
Juliana,Juliana,Julia,1,
Juliane,Juliane,Julia,1,
Julie,Julie,Julia,1,
Justina,Justina,Justina,1,
Justine,Justine,Justina,1,
Karoline,Karoline,Carola,1,
Katharina,Katharina,Catharina,1,
Katharine,Katharine,Catharina,1,
Kathrina,Kathrina,Catharina,1,
Klara,Klara,Clara,1,
Kunigunda,Kunigunda,Cunigunda,1,
Kunigunde,Kunigunde,Cunigunda,1,
Latjarome,Latjarome,Latjarome,1,
Lina,Lina,Lina,1,
Lisette,Lisette,Elisabeth,1,
Louisa,Louisa,Ludovica,1,
Louise,Louise,Ludovica,1,
Madda,Madda,Magdalene,1,
Magdalena,Magdalena,Magdalene,1,
Magdalene,Magdalene,Magdalene,1,
Make,Make,Maca,1,
Malwine,Malwine,Malvina,1,
Margareth,Margareth,Margarita,1,
Margaretha,Margaretha,Margarita,1,
Margarethe,Margarethe,Margarita,1,
Margretha,Margretha,Margarita,1,
Margrethe,Margrethe,Margarita,1,
Maria,Maria,Maria,1,
Marianne,Marianne,Maria,1,
Marie,Marie,Maria,1,
Marike,Marike,Maria,1,
Martha,Martha,Martha,1,
Mathilda,Mathilda,Mathilda,1,
Mathilde,Mathilde,Mathilda,1,
Meta,Meta,Margarita,1,
Metha,Metha,Margarita,1,
Mina,Mina,Gulielmina,1,
Minna,Minna,Gulielmina,1,
Monica,Monica,Monica,1,
Ottilie,Ottilie,Odilia,1,Used Pseudo-Latin for Name Key.
Ottlie,Ottlie,Odilia,1,Used Pseudo-Latin for Name Key.
Ottolina,Ottolina,Odilia,1,Used Pseudo-Latin for Name Key.
Ottoline,Ottoline,Odilia,1,Used Pseudo-Latin for Name Key.
Paulina,Paulina,Paula,1,
Pauline,Pauline,Paula,1,
Philippina,Philippina,Philippa,1,
Philippine,Philippine,Philippa,1,
Philippinna,Philippinna,Philippa,1,
Priscillia,Priscillia,Philippa,1,
Rebecka,Rebecka,Rebecca,1,
Rebecke,Rebecke,Rebecca,1,
Rebekka,Rebekka,Rebecca,1,
Rebekke,Rebekke,Rebecca,1,
Regina,Regina,Regina,1,
Regine,Regine,Regina,1,
Rieke,Rieke,Rica,1,Used Pseudo-Latin for Name Key.
Rosa,Rosa,Rosa,1,Used Pseudo-Latin for Name Key.
Rosalina,Rosalina,Rosa,1,Used Pseudo-Latin for Name Key.
Rosina,Rosina,Rosa,1,Used Pseudo-Latin for Name Key.
Rosine,Rosine,Rosa,1,Used Pseudo-Latin for Name Key.
Rudolphine,Rudolphine,Rudolpha,1,
Sallomea,Sallomea,Salome,1,
Salome,Salome,Salome,1,
Sarah,Sarah,Sarra,1,
Sibilla,Sibilla,Sibylla,1,
Sophia,Sophia,Sophia,1,
Sophie,Sophie,Sophia,1,
Stephania,Stephania,Stephania,1,
Susanna,Susanna,Susanna,1,
Sussanna,"Sussanna, Sußanna",Susanna,1,
Sussanne,"Sussanne, Sußanne",Susanna,1,
Sybilla,Sybilla,Sibylla,1,
Thelma,Thelma,Thelma,1,
Therese,Therese,Teresia,1,
Theresia,Theresia,Teresia,1,
Trina,Trina,Catharina,1,
Ulrike,Ulrike,Ulrica,1,
Ursula,Ursula,Ursula,1,
Valentine,Valentine,Valentina,1,
Verena,Verena,Verena,1,Used Pseudo-Latin for Name Key.
Verene,Verene,Verena,1,Used Pseudo-Latin for Name Key.
Veronica,Veronica,Veronica,1,
Victoria,Victoria,Victoria,1,
Wilhelmina,Wilhelmina,Gulielmina,1,
Wilhelmine,Wilhelmine,Gulielmina,1,
Willma,Willma,Gulielmina,1,
