Bayern
Bayern.
"Bayreuth, Bayern"
"Bechingen [?], Pfalz, Bayern"
"Bechingen, [?], Württemberg"
"Beckertroth [?], Bayern"
"Behsen, Westfalen"
"Beibatz, Hessen-Nassau"
"Beiershausen [?], Hessen-Nassau"
"Beindersheim, Pfalz, Bayern"
"Beinum [?], Hannover"
"Beiseförth, Hessen-Nassau"
"Beit [?], Arnsberg, Westfalen"
"Belle, Lippe"
"Bellheim, Bayern"
"Bellheim, Pfalz, Bayern"
"Bellstein [?], Hessen"
"Belm, Hannover"
"Belm, Osnabrück, Hannover"
"Bendingbostel [?], Hannover"
"Benefeld, Hannover"
"Bengen [?], Preußen"
"Benken, Basel-Landschaft, Switzerland"
"Benkenberg [?], Hessen"
"Benneckenstein, Sachsen (province) [?]"
"Bensheim, Darmstadt, Hessen"
"Bensheim, Hessen"
"Bentheim, Hannover"
"Benzau [?], Darmstadt, Hessen"
"Benzen, Germany"
"Benzheim [?], Pfalz, Bayern"
"Benzin, Mecklenburg-Schwerin"
"Berga, Weimar, Sachsen-Weimar-Eisenach"
"Bergen, Rügen, Pommern"
"Bergfelden, Sulz, Württemberg"
"Bergfreiheit, Waldeck"
"Berghaupten, Baden"
"Bergkirchen, Minden, Westfalen"
"Bergkirchen, Preußen"
"Bergkirchen, Westfalen"
"Bergzabern, Bayern"
"Berhingen [?], Landau, Bayern"
"Berkheim, Württemberg"
"Berleburg, Westfalen"
"Berlin, Brandenburg"
"Berlin, Brandenburg [?]"
"Bermuthshain [?], Hessen"
"Bermuthshain, Hessen"
"Bern (canton), Switzerland"
"Bern (Canton), Switzerland [?]"
"Bern, Rheinprovinz"
"Bern, Switzerland"
"Berndorf, Waldeck"
"Berneck, Bayern"
"Bernstadt, Ulm, Württemberg"
"Bersen, Münster, Westfalen [?]"
"Bersenbrück, Hannover"
"Besenau [?], Sachsen (kingdom or province)"
"Besten [?], Hannover"
"Betschdorf [?], Glarus, Switzerland"
"Betten, Basel-Landschaft, Switzerland"
"Bettmar, Braunschweig"
"Betzingen, Württemberg"
"Beuchte, Preußen"
"Beuern, Darmstadt, Hessen"
"Beverangen, Preußen"
"Beverungen, Westfalen"
"Beynitz [?], Bayreuth, Bayern"
Bezenrieth [?]
"Biberach, Württemberg"
"Bickenbach, Darmstadt, Hessen"
"Bidrich [?], Bern, Switzerland"
Biel [?]
"Biel-Benken, Basel-Landschaft, Switzerland"
"Biel-Benken, Basel, Switzerland"
"Bielefeld, Minden, Westfalen"
"Bielefeld, Westfalen"
"Bielefeld, Westfalen [?]"
"Bieleloth [?], Hessen"
"Biensbach [?], Hessen"
"Bietingen, Radolfzell, Baden"
"Bilden [?], Hannover [?]"
"Bildum [?], Bogenon [?], Hannover"
"Billerbeck, Lippe"
"Billethal [?], Bayern"
"Billigheim, Pfalz, Bayern"
"Biloffen [?], Baden"
"Binde, Sachsen (province)"
"Binder, Hannover"
"Bing, Magdeburg [?], Sachsen (province) [?]"
"Bingen, Hannover"
"Binsen, Hannover"
"Birkenau [?], Elsaß-Lothringen"
"Birkenau, Heppenheim, Hessen"
"Bissendorf, Hannover"
"Bissendorf, Osnabrück, Hannover"
"Bittlingen [?], Baden"
Blaeutenroth [?]
"Blankenberg, Erfurt, Sachsen (province)"
"Blankenhagen, Westfalen"
"Blankenloch, Baden"
"Blasheim, Lübbecke, Westfalen"
"Blasheim, Westfalen"
"Blasheim, Westfalen [?]"
"Blaubeuren, Württemberg"
"Bleitzenhausen [?], Cassel, Hessen-Nassau"
"Bliesschweyen, Elsaß-Lothringen"
"Blum [?], Baden [?]"
"Blüthen, Brandenburg"
"Böblingen, Württemberg"
"Bockhorst, Germany"
"Bockhorst, Minden, Westfalen"
"Bockhorst, Preußen"
"Bockwitz [?], Preußen"
"Böddinghausen, Preußen"
"Bodenheim, Hessen"
"Böhmen, Austria"
"Bohnenkamp, Westfalen"
"Bohr [?], Hannover"
"Boitzenburg, Mecklenburg-Schwerin [?]"
"Boizenburg, Mecklenburg"
"Bökel [?], Waldeck"
"Boldienn, Geherzasthum [?], Baden"
"Bollenbach, Baden"
"Bollhausen [?], Preußen"
"Bollinghausen [?], Hannover"
"Boltspag [?], Baden"
"Bolzspach [?], Baden"
"Bönnigheim, Württemberg"
"Bönningen, Bern, Switzerland"
"Bönstadt, Friedberg [?], Hessen [?]"
"Borchardshausen [?], Minden, Westfalen"
"Borenden [?], Göttingen, Hannover"
Borghofer [?]
"Borgholzen [?], Radolfzell, Baden"
"Borgholzhausen [?], Preußen"
"Borgholzhausen [?], Westfalen"
"Borgholzhausen, Bielefeld, Westfalen"
"Borgholzhausen, Halle, Minden, Westfalen"
"Borgholzhausen, Halle, Westfalen"
"Borgholzhausen, Minden, Westfalen"
"Borgholzhausen, Westfalen"
"Borgholzhausen, Westfalen [?]"
"Borghorst, Westfalen"
"Borgloh Wellendorf [?], Hannover"
"Borgloh-Wellendorf, Hannover"
"Borgloh, Hannover"
"Borholzhausen, Halle, Westfalen"
"Bornheim [?], Germany"
"Börninghausen, Lübbecke, Minden, Westfalen"
"Börninghausen, Lübbecke, Westfalen"
"Börninghausen, Minden, Westfalen"
"Börninghausen, Westfalen [?]"
"Borscheid, Düsseldorf, Rheinprovinz"
"Borsdorf [?], Hessen"
"Borsum [?], Aurich, Ostfriesland, Hannover"
"Bösingfeld, Lippe"
"Bostel [?], Wurth [?], Hannover"
"Bostel, Hannover"
"Botnang, Württemberg"
"Brake, Detmold, Lippe"
"Brake, Lippe"
"Brammer, Verden Alller [?], Hannover"
"Bramsche [?], Hannover"
"Bramsche [?], Osnabrück, Hannover"
"Bramsche, Hannover"
"Bramsche, Hannover [?]"
"Bramsche, Vörden, Hannover"
"Bramstedt, Schleswig-Holstein [?]"
"Braunnburig [?], Hannover [?]"
Braunschen [?]
Braunschweig (duchy)
Braunschweig (duchy) [?]
"Braunsdorf, Germany"
"Braunsdorf, Sachsen (kingdom or province)"
"Breddorf, Hannover"
"Breisenmühle [?], Bayern"
"Breisheim [?], Württemberg"
"Breistedt [?], Baden"
"Breitenstein, Hannover [?]"
"Brelsfeld [?], Jorgheim [?], Bayern"
Bremen
Bremen [?]
"Bremen, Preußen"
"Bremenfelden [?], Bayern"
"Bremerhaven, Bremen"
"Bremern, Germany"
"Bremervörde, Hannover"
"Bremgarten, Baden"
"Brensbach, Darmstadt, Hessen"
"Breslau, Schlesien"
"Breslau, Schlesien [?]"
"Bretten, Baden"
"Bretzingen, Baden"
"Bretzingen, Baden [?]"
"Brinkhausen [?], Hessen"
"Brinkhausen [?], Hessen-Nassau"
"Brinkum, Hannover"
"Brinkum, Syke, Hannover"
"Brockhagen, Westfalen"
"Brockhausen, Osnabrück, Hannover"
"Brockum, Lemförde, Hannover"
"Brodhausen, Bayern"
"Broistedt, Braunschweig"
"Bromskirchen, Hessen-Nassau"
"Broniewo, Bromberg, Posen"
"Brötzingen, Baden"
"Bruchhausen, Germany"
"Bruckberg, Ansbach, Mittelfranken, Bayern"
"Brucken, Kirchheim/Teck, Württemberg"
"Brugg, Aargau, Switzerland"
"Brumath [?], Strassburg, Elsaß-Lothringen"
"Brüninghorstedt, Hannover"
"Buchberg, Schaffhausen, Switzerland"
Buchen [?]
"Buchen, Bayern"
"Buchen, Württemberg"
"Buchenau, Hessen-Nassau"
"Buchenau, Hessen-Nassau [?]"
"Büchenberg, Fulda, Hessen-Nassau"
"Buchenberg, Germany"
"Buchenberg, Hessen-Nassau"
"Buchenberg, Hessen-Nassau [?]"
"Buchenbrink, Hannover"
"Buchenbug [?], Hessen"
"Buchholz, Germany"
"Buchhorst, Minden, Westfalen"
Büchwerch [?]
"Bückeburg, Westfalen [?]"
"Buckenwerder [?], Hessen"
"Büdingen, Hessen"
"Buensen, Hannover"
"Buer, Hannover"
"Buer, Hannover [?]"
"Buer, Osnabrück, Hannover"
"Bügen, Pommern"
"Buggenau, Bayern"
"Bühl (district), Baden"
"Bühle, Waldeck"
"Bühren [?], Osnabrück, Hannover"
"Bühren, Hannover"
"Buhren, Neustadt, Brandenburg"
"Bullenheim, Germersheim, Pfalz, Bayern"
"Bünch, Regieuysslys [?], Minden, Westfalen"
"Bünde, Herford, Westfalen"
"Bünde, Minden, Westfalen"
"Büngers, Rheinprovinz [?]"
"Bünte, Hannover"
"Büren, Hannover"
"Büren, Neustadt, Hannover"
"Büren, Preußen"
"Burg, Bebbach, Bayern"
"Burg, Holzhausen, Minden, Westfalen"
"Burgdorf, Hannover"
"Bürgeln [?], Hessen-Nassau"
"Burgholzhausen, Sachsen (province)"
